ID	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	CancerType
TCGA-OR-A5JP-01A	-683.629107393285	-702.997289638584	-1386.62639703187	0.920496724630066	ACC
TCGA-OR-A5JG-01A	-772.056918103535	-210.076533318262	-982.133451421797	0.895687534584021	ACC
TCGA-OR-A5LG-01A	-473.842951174337	280.689462866476	-193.153488307862	0.838302278248427	ACC
TCGA-OR-A5JR-01A	-842.674213081573	195.013937505079	-647.660275576494	0.872784444358262	ACC
TCGA-OR-A5KU-01A	-942.106816232446	-808.407555052338	-1750.51437128478	0.940045716851824	ACC
TCGA-OR-A5LS-01A	-1294.9776228389	-830.960453883361	-2125.93807672226	0.957403611830958	ACC
TCGA-OR-A5L9-01A	-164.41702206413	1026.5087221839	862.091700119767	0.744151708229913	ACC
TCGA-OR-A5JQ-01A	-3.81306265498686	704.309697935172	700.496635280185	0.759786283513968	ACC
TCGA-OR-A5K4-01A	-1630.86486631819	-835.10021921142	-2465.96508552961	0.970617577699626	ACC
TCGA-OR-A5JL-01A	-1095.98420566259	-49.1335569669854	-1145.11776262957	0.90606891189696	ACC
TCGA-OR-A5LC-01A	-528.961509615663	-413.803702753645	-942.765212369308	0.893102853254086	ACC
TCGA-OR-A5K2-01A	-788.449539078457	-117.70832353628	-906.157862614736	0.89067267283548	ACC
TCGA-P6-A5OG-01A	883.264529374514	1887.33027492446	2770.59480429897	0.530438667150153	ACC
TCGA-OR-A5JW-01A	-936.629048581482	-293.54852530402	-1230.1775738855	0.91128126548481	ACC
TCGA-OR-A5KO-01A	-1422.52214035615	-1022.74366277875	-2445.2658031349	0.969881972858788	ACC
TCGA-OR-A5J8-01A	1495.86570142741	1945.70732051423	3441.57302194164	0.444509063125582	ACC
TCGA-PA-A5YG-01A	70.4502685898165	1050.9869151698	1121.43718375962	0.718188250937313	ACC
TCGA-OR-A5KV-01A	-1305.46105424535	-1080.00629390278	-2385.46734814813	0.967706600402592	ACC
TCGA-OR-A5L4-01A	-467.842230575683	-123.771571261255	-591.613801836938	0.868739320255559	ACC
TCGA-OR-A5KX-01A	-1276.50311554126	-400.913920239486	-1677.41703578075	0.936332278403915	ACC
TCGA-OR-A5L8-01A	-867.867337063981	-1010.30014189044	-1878.16747895442	0.946270881265455	ACC
TCGA-OR-A5JO-01A	712.265317511134	1980.64848652931	2692.91380404044	0.540070283005617	ACC
TCGA-OR-A5JA-01A	-1289.39544700026	-249.488589346777	-1538.88403634704	0.928999243866189	ACC
TCGA-OR-A5LO-01A	-1407.92839613508	-1179.23825356004	-2587.16664969513	0.974744743537465	ACC
TCGA-OR-A5JM-01A	-1359.8898540961	-1106.41914541478	-2466.30899951087	0.970629723952606	ACC
TCGA-OR-A5JV-01A	-53.5409149718521	1426.9980389259	1373.45712395405	0.691960791066688	ACC
TCGA-OR-A5JB-01A	-502.795589736272	1796.86030641118	1294.06471667491	0.700326960540681	ACC
TCGA-OR-A5LA-01A	-7.58541363497882	1022.64921060103	1015.06379696605	0.728965508895829	ACC
TCGA-OR-A5JE-01A	-704.159050438127	89.3667178192997	-614.792332618827	0.870419364138605	ACC
TCGA-OR-A5JZ-01A	-808.53714259259	72.3897192409329	-736.147423351657	0.879050594435477	ACC
TCGA-OR-A5KT-01A	377.340663010872	1113.78059366693	1491.1212566778	0.679389135574483	ACC
TCGA-OR-A5KZ-01A	-520.496202696391	-190.509938803039	-711.00614149943	0.877285270404834	ACC
TCGA-OR-A5LJ-01A	-1269.20305823821	-219.961328491736	-1489.16438672995	0.926273571743534	ACC
TCGA-OR-A5LB-01A	-1214.12761317015	-952.979086795725	-2167.10669996588	0.959131076386856	ACC
TCGA-OR-A5LT-01A	-1146.60120659925	-595.220586122101	-1741.82179272135	0.939609784228941	ACC
TCGA-OR-A5LD-01A	-1149.2910708899	-897.82760305417	-2047.11867394407	0.953998800672005	ACC
TCGA-OR-A5J2-01A	-493.03100963485	-352.45172089995	-845.4827305348	0.886588146846537	ACC
TCGA-PK-A5HB-01A	-877.649200327126	-404.932387602536	-1282.58158792966	0.914421843735302	ACC
TCGA-OR-A5JS-01A	-1316.00520644569	-673.391056435648	-1989.39626288134	0.951424299012036	ACC
TCGA-OR-A5K6-01A	-796.653038905274	-16.8966818723547	-813.549720777629	0.884410214768369	ACC
TCGA-OR-A5JY-01A	-956.914289731185	101.091048197159	-855.823241534027	0.887289229367129	ACC
TCGA-OR-A5JT-01A	-1003.03202761289	-290.800934151597	-1293.83296176449	0.915089090397121	ACC
TCGA-PK-A5H8-01A	-866.201920531502	-41.7501890825426	-907.952109614044	0.890792383941814	ACC
TCGA-OR-A5JX-01A	-779.623065065765	-169.490052495215	-949.11311756098	0.893521637538683	ACC
TCGA-OR-A5LK-01A	-157.463908998311	1640.42756327086	1482.96365427255	0.680267304650622	ACC
TCGA-P6-A5OF-01A	-645.504299441727	-343.155906510101	-988.660205951828	0.896113153769463	ACC
TCGA-OR-A5JI-01A	63.4979242211944	498.701547391518	562.199471612713	0.772827608317546	ACC
TCGA-OR-A5K5-01A	-1189.53083173042	-491.744188592495	-1681.27502032292	0.936530967363337	ACC
TCGA-OR-A5JC-01A	-710.131514585807	-66.9073852112474	-777.038899797054	0.881896254172702	ACC
TCGA-OR-A5KW-01A	-936.704840977443	-768.867880997743	-1705.57272197519	0.937775411266612	ACC
TCGA-OR-A5JJ-01A	-1094.67833003897	-579.252438757461	-1673.93076879643	0.936152474881936	ACC
TCGA-OR-A5JD-01A	-568.004989047119	613.58992289503	45.5849338479115	0.818685281924486	ACC
